Product Name,Total Purchased,Total Issued,Available,Min Required
elaichi,1.00,0.00,1.00,1.00
Red Cloth for Rapping ,1.00,0.00,1.00,1.00
Inc Pad,1.00,0.00,1.00,1.00
Salt,1.00,0.00,1.00,1.00
Masking tape,1.00,0.00,1.00,1.00
Achar (Mix),1.00,0.00,1.00,1.00
Sello Tape 3 inch,1.00,0.00,1.00,1.00
Male gift ,1.00,0.00,1.00,1.00
Ketchup ,1.00,0.00,1.00,1.00
Female Gift ,1.00,0.00,1.00,1.00
GAS Cylinder ,1.00,0.00,1.00,1.00
Chati mate Ja- namaz ,1.00,0.00,1.00,1.00
Blanket,1.00,0.00,1.00,1.00
Kaleen  carpet ,1.00,0.00,1.00,1.00
Gas Stove ,1.00,0.00,1.00,1.00
Bhatti,1.00,0.00,1.00,1.00
T-20 Vatika Elite shield ,1.00,0.00,1.00,1.00
Watch Stand,1.00,0.00,1.00,1.00
Happy diwali Mug ,1.00,0.00,1.00,1.00
Performer ,1.00,0.00,1.00,1.00
Old mug ,1.00,0.00,1.00,1.00
Male woolen cap ,1.00,0.00,1.00,1.00
Furniture Cleaner ,1.00,0.00,1.00,1.00
Scotch brite srab ,1.00,0.00,1.00,1.00
Red Harpic,1.00,0.00,1.00,1.00
Tissue Box,4.00,4.00,0.00,1.00
